,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
308, Robbinsville High ,28,49.1,514,452,465,966,1431
390, Granville County Schools,253,48.8,498,471,455,969,1424
322, Granville Central High ,   ,   ,   ,   ,   ,   ,   
324, J F Webb High ,87,46,499,469,443,968,1411
700, J F Webb High Of Health Sci ,49,60.5,502,471,482,973,1455
704, South Granville Hi Of Heal Sci ,39,45.9,489,479,455,968,1423
705, South Granville High Of Busine ,59,54.6,493,467,449,960,1409
400, Greene County Schools ,80,40.4,461,449,423,910,1333
308, Greene Central High ,80,40.4,461,449,423,910,1333
315, Greene Early College High ,   ,   ,   ,   ,   ,   ,   
410, Guilford County Schools ,2670,58.6,500,488,477,988,1465
319, T Wingate Andrews High ,93,52.2,433,427,410,860,1270
326, Middle College High At Bennet ,8,61.5,395,414,374,809,1183
355, Dudley High ,187,57.5,426,419,413,845,1258
358, Eastern Guilford High ,104,46,453,441,424,894,1318
390, Gc Middle College High ,47,79.7,472,505,490,977,1467
391, Penn-Griffin School For The Ar ,   ,   ,   ,   ,   ,   ,   
394, Grimsley High ,257,70,552,548,536,1100,1636
395, Early College At Guilford ,46,97.9,654,663,628,1317,1945
399, Gtcc East Middle College High ,8,38.1,481,471,435,952,1387
401, Gtcc Middle College High ,17,40.5,523,522,484,1045,1529
406, High Point Central High ,129,58.9,486,472,463,958,1421
407, The Academy At High Point Cent ,6,50,402,395,373,797,1170
408, High Point Gtcc Mid Coll High ,10,24.4,516,516,520,1032,1552
483, Middle College High At Nc A&t ,11,55,416,422,418,838,1256
484, Northeast High ,122,53.7,451,444,432,895,1327
489, Northern Guilford High ,2,NA,*,*,*,*,*
490, Northwest High ,390,66.8,558,530,529,1088,1617
508, Walter Hines Page High ,203,58.8,514,511,495,1025,1520
529, Lucy Ragsdale High ,223,66.6,522,493,474,1015,1489
544, Ben L Smith High ,98,40.7,417,388,385,805,1190
545, Smith Academy ,18,40,394,407,387,801,1188
547, Southeast High ,162,58.5,491,478,460,969,1429
556, Southern High ,113,63.1,465,458,445,923,1368
562, Southwest High ,187,59.2,500,490,473,990,1463
589, P J Weaver Ed Center ,55,88.7,507,539,523,1046,1569
595, Western High ,174,58.2,506,487,491,993,1484
420, Halifax County Schools,119,43.3,410,413,401,823,1224
346, Northwest High ,64,43,413,402,402,815,1217
358, Southeast Halifax High ,55,43.7,406,425,399,831,1230
421, Roanoke Rapids City Schools,86,47.5,495,482,465,977,1442
316, Roanoke Rapids High ,86,47.5,495,482,465,977,1442
422, Weldon City Schools ,44,58.7,394,388,371,782,1153
700, Weldon Science Technology Engi ,   ,   ,   ,   ,   ,   ,   
430, Harnett County Schools ,455,44,494,481,453,975,1428
346, Harnett Central High ,149,51.9,505,483,467,988,1455
371, Overhills High ,110,48.9,463,470,446,933,1379
378, Triton High ,107,40.7,510,475,441,985,1426
384, Western Harnett High ,89,35.9,497,497,451,994,1445
440, Haywood County Schools ,227,50.8,533,502,489,1035,1524
326, Central Haywood High ,,,,,,,
346, Haywood Early College ,   ,   ,   ,   ,   ,   ,   
378, Pisgah High ,94,48.7,520,502,495,1022,1517
390, Tuscola High ,133,54.5,542,503,485,1045,1530
450, Henderson County Schools ,407,52.2,533,517,494,1050,1544
316, East Henderson High ,85,40.1,515,517,492,1032,1524
334, Hendersonville High ,103,61.3,544,528,513,1072,1585
341, North Henderson High ,97,56.7,511,489,469,1000,1469
352, West Henderson High ,122,56,555,529,501,1084,1585
460, Hertford County Schools ,115,44.7,416,397,388,813,1201
320, Hertford County High ,115,48.1,416,397,388,813,1201
470, Hoke County Schools ,183,57.7,436,428,407,864,1271
312, Hoke County High ,183,59,436,428,407,864,1271
443, Sandhoke Early College High ,   ,   ,   ,   ,   ,   ,   
480, Hyde County Schools ,21,37.5,512,450,446,962,1408
307, Mattamuskeet High ,17,36.2,496,439,429,935,1364
316, Ocracoke ,4,44.4,*,*,*,*,*
490, Iredell-Statesville Schools,675,51.6,535,504,484,1039,1523
320, Collab Col Of Tech & Leadershi ,1,3.3,*,*,*,*,*
335, Lake Norman High ,306,72.9,552,518,501,1070,1571
346, North Iredell High ,91,40.3,521,508,488,1029,1517
354, Statesville High ,92,38.2,534,508,477,1042,1519
362, South Iredell High ,75,45.5,524,484,475,1008,1483
380, West Iredell High ,110,53.7,510,467,447,977,1424
49E , Pine Lake Preparator ,   ,   ,   ,   ,   ,   ,   
491, Mooresville City Schools ,208,60.5,515,490,480,1005,1485
312, Mooresville Sr High ,208,60.5,515,490,480,1005,1485
500, Jackson County Schools ,104,56.5,514,501,485,1015,1500
302, Blue Ridge Virtual Early Colle ,1,10,*,*,*,*,*
324, Jackson Co Sch Of Alt ,   ,   ,   ,   ,   ,   ,   
340, Smoky Mountain High ,100,59.9,515,503,488,1018,1506
510, Johnston County Schools ,660,41.7,519,497,481,1016,1497
324, Clayton High ,194,50.4,530,512,496,1042,1538
357, Johnston Middle College ,11,30.6,507,501,518,1008,1526
368, North Johnston High ,53,40.5,513,451,449,964,1413
376, Princeton High ,43,48.3,545,519,517,1064,1581
399, Smithfield-Selma High ,96,39,487,466,451,953,1404
402, South Johnston High ,74,29.7,532,503,486,1035,1521
406, West Johnston High ,189,42.4,514,501,478,1015,1493
520, Jones County Schools ,37,48.7,424,423,406,847,1253
320, Jones Senior High ,37,48.7,424,423,406,847,1253
530, Lee County Schools ,262,51.3,505,485,465,990,1455
335, Lee Early College ,   ,   ,   ,   ,   ,   ,   
336, Lee County Sr High ,157,58.8,511,490,474,1001,1475
343, Southern Lee Hgih ,105,43.9,496,477,452,973,1425
540, Lenoir County Schools ,266,41.8,478,456,444,934,1378
315, Kinston High ,112,48.7,450,442,430,892,1322
324, North Lenoir High ,93,44.5,490,454,439,944,1383
336, South Lenoir High ,59,33.3,516,486,482,1002,1484
550, Lincoln County Schools ,360,43.2,520,492,466,1012,1478
320, East Lincoln High ,121,56.3,509,490,463,999,1462
332, Lincolnton High ,53,28.8,511,494,472,1005,1477
344, North Lincoln High ,118,50.6,538,502,474,1040,1514
368, West Lincoln High ,68,33.8,515,478,450,993,1443
55A , Lincoln Charter School ,25,64.1,500,500,476,1000,1476
560, Macon County Schools ,125,49.2,508,500,472,1008,1480
320, Franklin High ,100,48.3,507,506,477,1013,1490
324, Highlands School ,11,47.8,541,498,505,1039,1544
329, Macon County Early College Hig ,   ,   ,   ,   ,   ,   ,   
332, Nantahala School ,14,73.7,487,452,411,939,1350
570, Madison County Schools ,68,50.7,534,499,470,1033,1503
318, Madison High ,68,50.7,534,499,470,1033,1503
580, Martin County Schools,117,46.1,493,447,427,940,1367
304, Bear Grass High ,15,37.5,538,477,457,1015,1472
328, Jamesville High ,14,32.6,523,469,441,992,1433
344, Roanoke High ,32,50,459,398,389,857,1246
368, Williamston High ,56,52.3,493,461,436,954,1390
590, Mcdowell County Schools ,113,30.5,497,486,479,983,1462
328, Mcdowell Early College ,1,NA,*,*,*,*,*
330, Mcdowell High ,112,30.2,496,485,479,981,1460
600, Charlotte-Mecklenburg Schools ,4450,60.6,510,497,485,1007,1492
302, Ardrey Kell High ,298,79.3,568,531,526,1099,1625
334, Cato Middle College High ,44,77.2,517,498,499,1015,1514
361, David W. Butler High ,372,66.7,533,516,504,1049,1553
375, Midwood High ,   ,   ,   ,   ,   ,   ,   
376, E E Waddell High ,70,35.2,437,439,427,876,1303
377, East Mecklenburg High ,244,62.6,492,492,474,984,1458
386, Hawthorne High/Taps ,4,11.1,*,*,*,*,*
396, Garinger High4,110,44.5,425,409,398,834,1232
405, Harding Univ High ,170,74.9,454,446,435,900,1335
415, Hopewell High ,343,59.8,498,489,476,987,1463
426, Independence High ,247,46,459,453,435,912,1347
445, Mallard Creek High School ,264,71.5,491,474,465,965,1430
466, Myers Park High ,458,72.7,580,563,548,1143,1691
480, North Mecklenburg High ,339,69.6,541,526,512,1067,1579
482, Northwest High ,79,66.9,507,542,522,1049,1571
496, Phillip O Berry High ,86,62.8,434,425,421,859,1280
498, Performance Learning Center ,9,17.6,501,474,468,975,1443
508, Providence High ,410,80.2,585,566,557,1151,1708
535, South Mecklenburg High ,250,66,527,504,498,1031,1529
576, West Charlotte High ,153,44.7,406,404,394,810,1204
