,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,358,Tarboro High,59,39.1,476,457,447,933,1380,,,,
340,340,Winston-Salem/ Forsyth County ,1867,66.2,516,500,487,1016,1503,,,,
,330,Carver High,113,52.6,420,402,393,822,1215,,,,
,364,East Forsyth High,270,70.3,526,503,491,1029,1520,,,,
,382,R B Glenn High,193,57.8,479,475,462,954,1416,,,,
,446,Forsyth Middle College,,,,,,,,,,,
,454,Mount Tabor High,366,90.1,539,532,517,1071,1588,,,,
,460,North Forsyth High,168,54.4,491,467,459,958,1417,,,,
,486,Parkland High,167,62.5,451,436,415,887,1302,,,,
,495,Reagan High,,,,,,,,,,,
,496,Reynolds High,249,68,546,542,529,1088,1617,,,,
,556,West Forsyth High,333,75.2,560,525,519,1085,1604,,,,
,568,Winston-Salem Prep ,,,,,,,,,,,
,700,Sch Computer Tech At ,,,,,,,,,,,
,701,Sch Of Biotech Atkin ,,,,,,,,,,,
,702,Sch Pre-Engin Atkins ,,,,,,,,,,,
34D,34D,Woodson School of Challenge,13,92.9,348,323,333,671,1004,,,,
350,350,Franklin County ,223,52,478,463,455,941,1396,,,,
,308,Bunn High,89,54.3,492,468,457,960,1417,,,,
,321,Franklinton High,80,49.1,468,458,451,926,1377,,,,
,336,Louisburg High,54,52.9,472,464,458,936,1394,,,,
360,360,Gaston County ,982,51.3,501,481,465,982,1447,,,,
,310,Ashbrook High,183,56,515,493,473,1008,1481,,,,
,336,Bessemer City High,45,33.6,448,429,425,877,1302,,,,
,360,Cherryville Sr High,43,43.9,483,451,433,934,1367,,,,
,390,East Gaston High,140,45.2,505,482,476,987,1463,,,,
,396,Forestview High,163,60.6,517,494,476,1011,1487,,,,
,418,Highlands School,108,87.1,532,510,489,1042,1531,,,,
,428,Hunter Huss High,86,40.8,441,442,429,883,1312,,,,
,470,North Gaston High,84,43.3,479,453,442,932,1374,,,,
,494,South Point High,130,56.8,513,497,473,1010,1483,,,,
36B,36B,Piedmont Comm Charter,,,,,,,,,,,
370,370,Gates County ,56,55.4,498,466,459,964,1423,,,,
,312,Gates County Sr High,56,55.4,498,466,459,964,1423,,,,
380,380,Graham County ,39,52.7,498,472,485,970,1455,,,,
,308,Robbinsville High,39,52.7,498,472,485,970,1455,,,,
390,390,Granville County ,234,52.6,502,478,468,980,1448,,,,
,324,J F Webb High,90,51.1,512,480,461,992,1453,,,,
,352,South Granville High,93,56,496,490,481,986,1467,,,,
,700,Jf Webb High,39,54.2,489,441,453,930,1383,,,,
,704,S Granville H,12,38.7,518,494,473,1012,1485,,,,
,705,S Granville Bus & Gl ,,,,,,,,,,,
,706,S Granville Eng & Ap ,,,,,,,,,,,
400,400,Greene County ,68,46.3,467,446,441,913,1354,,,,
,308,Greene Central High,68,46.3,467,446,441,913,1354,,,,
410,410,Guilford County ,2923,70.3,504,490,482,994,1476,,,,
,319,T Wingate Andrews High,160,66.7,447,438,436,885,1321,,,,
,326,Middle Col Hs Bennett ,*,*,*,*,*,*,*,,,,
,355,Dudley High,180,67.2,425,413,408,838,1246,,,,
,358,Eastern Guilford High,83,54.6,476,451,440,927,1367,,,,
,390,GC Middle College High,40,88.9,504,508,501,1012,1513,,,,
,394,Grimsley High,332,89,558,557,546,1115,1661,,,,
,395,Guilford Early College,48,114.3,638,634,602,1272,1874,,,,
,399,GTCC Mid Col Greensboro,,,,,,,,,,,
,401,GTCC Mid Col Jamestown,15,37.5,505,568,499,1073,1572,,,,
,406,High Pt Central High,168,77.8,488,466,458,954,1412,,,,
,407,Academy at High Point,,,,,,,,,,,
,408,High Pt GTCC MCH,,,,,,,,,,,
,483,Mid Col High NC A & T,5,13.9,328,354,308,682,990,,,,
,484,Northeast High,139,71.3,486,461,453,947,1400,,,,
,490,Northwest High,344,71.5,565,541,536,1106,1642,,,,
,508,Page High,242,73.6,500,490,486,990,1476,,,,
,529,Lucy Ragsdale High,212,72.4,508,486,484,994,1478,,,,
,544,Ben L Smith High,166,56.1,431,414,403,845,1248,,,,
,545,Smith Academy,,,,,,,,,,,
,547,Southeast High,196,70.3,484,467,456,951,1407,,,,
,556,Southern High,104,65.8,465,458,451,923,1374,,,,
,562,Southwest High,212,81.2,515,491,479,1006,1485,,,,
,589,P J Weaver Ed Center ,30,88.2,527,570,548,1097,1645,,,,
,595,Western High,245,81.4,521,502,501,1023,1524,,,,
420,420,Halifax County ,119,35.4,410,403,400,813,1213,,,,
,346,Northwest High,68,36.2,415,405,398,820,1218,,,,
,358,Southeast Halifax High,51,34.5,402,400,403,802,1205,,,,
421,421,Roanoke Rapids City ,100,59.5,483,464,466,947,1413,,,,
,316,Roanake Rapids High,100,59.5,483,464,466,947,1413,,,,
422,422,Weldon City ,40,65.6,404,386,391,790,1181,,,,
,324,Weldon High,40,65.6,404,386,391,790,1181,,,,
430,430,Harnett County ,429,49.7,492,473,457,965,1422,,,,
,346,Harnett Central High,143,58.6,516,490,470,1006,1476,,,,
,371,Overhills High,63,38.9,478,482,470,960,1430,,,,
,378,Triton High,125,49.2,478,448,432,926,1358,,,,
,384,Western Harnett High,98,49.2,487,472,459,959,1418,,,,
440,440,Haywood County ,255,55.7,534,500,486,1034,1520,,,,
,326,Central Haywood High ,,,,,,,,,,,
,378,Pisgah High,92,47.7,526,490,484,1016,1500,,,,
,390,Tuscola High,162,63.3,541,506,487,1047,1534,,,,
450,450,Henderson County ,388,51.8,534,511,489,1045,1534,,,,
,316,East Henderson High,98,45.4,540,514,487,1054,1541,,,,
,334,Hendersonville High,81,66.9,545,520,504,1065,1569,,,,
,341,North Henderson High,85,47.2,502,480,460,982,1442,,,,
,352,West Henderson High,124,56.6,545,524,502,1069,1571,,,,
460,460,Hertford County ,89,46.4,417,408,402,825,1227,,,,
,320,Hertford County High,89,46.4,417,408,402,825,1227,,,,
470,470,Hoke County ,141,48.1,439,425,417,864,1281,,,,
,312,Hoke County High,141,49.1,439,425,417,864,1281,,,,
480,480,Hyde County ,13,40.6,488,470,437,958,1395,,,,
,307,Mattamu-  stkeet High,7,25.9,491,440,415,931,1346,,,,
,316,Ocracoke,6,120,483,505,454,988,1442,,,,
490,490,Iredell-Statesville ,527,52.2,537,500,493,1037,1530,,,,
,335,Lake Norman High,237,87.8,548,511,505,1059,1564,,,,
,346,North Iredell High,70,38.5,526,497,488,1023,1511,,,,
,354,Statesville High,107,44.2,543,506,501,1049,1550,,,,
,362,South Iredell High,54,38.6,504,461,449,965,1414,,,,
,380,West Iredell High,59,34.1,523,487,476,1010,1486,,,,
491,491,Mooresville City ,184,63.7,537,501,494,1038,1532,,,,
,312,Mooresville Sr High,184,63.7,537,501,494,1038,1532,,,,
