,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,,,,,,,,, 
344,North Lincoln High,132,63.2,529,482,471,1011,1482,,,,,,,,,,,
368,West Lincoln High,84,39.4,490,468,450,958,1408,,,,,,,,,,,
55A,Lincoln Charter,10,47.6,414,385,385,799,1184,,,,,,,,,,,
560,Macon County ,135,57.9,524,512,492,1036,1528,,,,,,,,,,,
320,Franklin High,107,55.7,522,511,492,1033,1525,,,,,,,,,,,
324,Highlands School,21,65.6,555,532,505,1087,1592,,,,,,,,,,,
332,Nantahala School,7,77.8,463,471,463,934,1397,,,,,,,,,,,
570,Madison County ,77,50.3,527,507,467,1034,1501,,,,,,,,,,,
318,Madison High,77,50.3,527,507,467,1034,1501,,,,,,,,,,,
580,Martin County ,130,52.6,486,459,439,945,1384,,,,,,,,,,,
304,Bear Grass High,24,64.9,500,493,442,993,1435,,,,,,,,,,,
328,Jamesville High,22,46.8,534,473,452,1007,1459,,,,,,,,,,,
344,Roanoke High,34,46.6,450,432,406,882,1288,,,,,,,,,,,
368,Williamston High,50,55.6,484,454,452,938,1390,,,,,,,,,,,
590,McDowell County ,162,45.4,500,483,470,983,1453,,,,,,,,,,,
330,McDowell High,162,45.4,500,483,470,983,1453,,,,,,,,,,,
600,Charlotte-Mecklenburg County ,4713,70.2,503,493,480,996,1476,,,,,,,,,,,
302,Ardrey Kell High School,7,,487,471,429,958,1417,,,,,,,,,,,
361,David W Butler High,390,80.9,511,509,494,1020,1514,,,,,,,,,,,
376,E E Waddell High,64,34.4,442,432,414,874,1288,,,,,,,,,,,
377,East Mecklenburg High,314,73.9,499,483,472,982,1454,,,,,,,,,,,
386,Midwood High,9,27.3,377,376,347,753,1100,,,,,,,,,,,
396,Garinger High,147,52.3,441,426,421,867,1288,,,,,,,,,,,
405,Harding Univ High,235,76.5,465,460,447,925,1372,,,,,,,,,,,
415,Hopewell High,340,67.7,500,494,485,994,1479,,,,,,,,,,,
426,Independence High,295,65.7,459,458,440,917,1357,,,,,,,,,,,
439,Derita Alternative ,,,,,,,,,,,,,,,,,,
445,Mallard Creek High,,,,,,,,,,,,,,,,,,
466,Myers Park High,446,82.6,575,560,547,1135,1682,,,,,,,,,,,
480,North Mecklenburg High,498,77.4,533,524,510,1057,1567,,,,,,,,,,,
482,Northwest High,86,61.9,484,532,509,1016,1525,,,,,,,,,,,
490,Olympic High5,86, ,487,468,440,955,1395,,,,,,,,,,,
496,Phillip Berry Acad ,160,79.2,430,422,398,852,1250,,,,,,,,,,,
498,Performance Learning,17,41.5,469,514,468,983,1451,,,,,,,,,,,
508,Providence High,535,93.2,565,548,537,1113,1650,,,,,,,,,,,
535,South Mecklenburg High,456,82.3,525,508,490,1033,1523,,,,,,,,,,,
576,West Charlotte High,128,56.4,393,392,387,785,1172,,,,,,,,,,,
579,West Mecklenburg High,132,43.9,436,427,408,863,1271,,,,,,,,,,,
592,Zebulon B Vance High,273,62.3,463,453,446,916,1362,,,,,,,,,,,
693,Renaissance Olympic ,29,37.2,439,448,433,887,1320,,,,,,,,,,,
695,Int Global Econ Olym ,9,24.3,442,464,412,906,1318,,,,,,,,,,,
696,Int Bus Comm Olympic ,33,60,422,399,391,821,1212,,,,,,,,,,,
697,Biotech Hlth Pa Olym ,24,35.3,453,424,429,877,1306,,,,,,,,,,,
60C,Kennedy Charter,2,7.7,0,0,0,0,0,,,,,,,,,,,
60H Crossroads Charter ,Crossroads Charter,11,24.4,365,384,357,749,1106,,,,,,,,,,,
610,Mitchell County ,51,42.1,498,512,498,1010,1508,,,,,,,,,,,
334,Mitchell High,51,42.1,498,512,498,1010,1508,,,,,,,,,,,
620,Montgomery County ,119,44.9,457,429,423,886,1309,,,,,,,,,,,
316,East Montgomery High,52,43,451,423,419,874,1293,,,,,,,,,,,
340,West Montgomery High,67,47.2,462,434,426,896,1322,,,,,,,,,,,
630,Moore County ,429,57.5,535,518,501,1053,1554,,,,,,,,,,,
330,Pinckney Academy,,,,,,,,,,,,,,,,,,
332,North Moore High,48,40.3,531,506,500,1037,1537,,,,,,,,,,,
336,Pinecrest High,250,66,534,520,501,1054,1555,,,,,,,,,,,
360,Union Pines High,131,53.3,539,518,504,1057,1561,,,,,,,,,,,
640,Nash-Rocky Mount ,494,46,486,463,453,949,1402,,,,,,,,,,,
346,Nash Central High,103,46.4,475,455,442,930,1372,,,,,,,,,,,
